Property Details	Описание недвижимости
Card Number	Номер Карты
Expiration	Истечение
Month	Месяц
Year	Год
Security Code	Код Безопасности
Amount to be charged now	Сумма взимается сейчас
Amount Paid	Выплачиваемая сумма
Amount Due Now	Сумма к оплате Теперь
Billing Address	Платежный Адрес
Street Line 1	Улица Line 1
Street Line 2	Улица Line 2
I have read and accept the terms and conditions	Я прочитал и принимаю условия и положения
Terms of Service	Условия использования
Rental Policy	Аренда Политика
Booking Disclaimer	Бронирование Отказ от ответственности
Review Now	Обзор сейчас
Reserve Now	Забронируйте сейчас
You Saved	Ты спас
Status	Статус
Created On	Дата создания
Hold Confirmation Number	Удержание Номер подтверждения
Quoted Rate	Стоимость указана
We are looking forward to your visit	Мы с нетерпением ждем вашего визита
in the mean time	тем временем
you may want to review one of these links	Вы можете ознакомиться с одной из этих ссылок
Map and Description of Local Attractions	Карта и описание достопримечательностей и интересных мест
More Info About	Более подробную информацию о
located in	находится в
Complete your booking now	Заполните ваш заказ сейчас
click here	кликните здесь
Your booking will be held until	Ваш заказ будет проходить до тех пор,
A service from	Сервис от
Best Regards	С Уважением
Thank you for your interest in	Спасибо за ваш интерес к
Toll-Free	Бесплатный
Confirmed	Подтвердил
Held	Проводится
Checked In	Проверено В
Checked Out	Проверено
Cancelled	Отменен
Pending Confirmation	В ожидании подтверждения
Weather	Погода
Special Offers	Специальные Предложения
Blog	Блог
Featured Suites	Популярные Suites
Revise Search	Пересмотреть Поиск
Similar Properties	Похожие свойства
Property Finders	Особенности Искатели
Digital Footprint	Цифровой след
Last Booking	Последнее бронирование
Last Email	Последнее Email
Last Event	Последнее событие
Quote is valid for	Цитата действительна для
minute(s)	минута (ы)
second(s)	секунд (ы)
The credit card number should contain only digits	Номер кредитной карты должен содержать только цифры
This quote is not valid any more	Эта цитата не является действительным больше
The page will be automatically refreshed	Страница будет автоматически обновлена
You will pay in	Вы будете платить в
There are no properties in your wish list	Там нет ни одного объекта в Вашем списке пожеланий
Garage Spaces	Гараж Пространства
An unexpected error occurred	Произошла непредвиденная ошибка
Please try again later	Пожалуйста, повторите попытку позже
Booking not found	Бронирование не найдены
Make a Payment	Совершить платеж
Please verify this booking belongs to you	Пожалуйста проверьте это Бронирование принадлежит вам
This booking has been canceled	Это заказ был отменен
Pay Now	Заплатить Сейчас
Filter by	Фильтр по
Response	Ответ
See full review on	Показать полное мнение о
Lot Size	Размер участка
Privacy	Конфиденциальность
Privacy Policy	Политика Конфиденциальности
Policy	Политика
Terms	Условия
My WishList	Список пожеланий
WishList	Список пожеланий
WishListed	В вашем списке пожеланий
