Property Details	Detalls de la propietat
Please accept the terms and conditions	Si us plau, accepti els termes i condicions
Guest Information	Informació del client
Credit Card Information	Informació de la Targeta de Crèdit
Name on Card	Nom a la targeta
Card Type	Tipus De Targeta
Card Number	Nombre De Targeta
Expiration	Caducitat
Month	Mes
Year	L'Any
Security Code	Codi De Seguretat
Amount to be charged now	Quantitat a cobrar ara
Amount Paid	Quantitat Pagada
Amount Due Now	Import a Pagar Ara
Billing Address	Direcció De Enviament
Street Line 1	Carrer Línia 1
Street Line 2	Carrer Línia 2
I have read and accept the terms and conditions	He llegit i accepto els termes i condicions
Terms of Service	Termes de Servei
Rental Policy	Política de lloguer
Booking Disclaimer	Reserva Disclaimer
Review Now	Revisi Ara
Reserve Now	Reserva ara
You Saved	Vas salvar
Status	Estat
Created On	Creat En
Hold Confirmation Number	Hold Nombre de confirmació
Quoted Rate	Taxa Citat
We are looking forward to your visit	Estem mirant endavant a la seva visita
in the mean time	mentrestant
you may want to review one of these links	és possible que vulgueu revisar un d'aquests enllaços
Map and Description of Local Attractions	Mapa i descripció d'Atraccions locals
More Info About	Més Informació
located in	situat a
Complete your booking now	Completa la teva reserva ara
click here	faci clic aquí
Your booking will be held until	La seva reserva es mantindrà fins
A service from	Un servei de
Best Regards	Atentament
Thank you for your interest in	Gràcies pel seu interès en
Toll-Free	Sense Peatge
Confirmed	Confirmat
Held	Celebrada
Checked In	Registrat
Checked Out	Desprotegit
Cancelled	Cancel·lat
Pending Confirmation	Confirmació Pendent
Weather	Temps
Special Offers	Ofertes especials
Blog	Bloc
Featured Suites	Suites destacats
Revise Search	Modificar la cerca
Similar Properties	Immobles similars
Property Finders	Finders Propietat
Digital Footprint	Empremta digital
Last Booking	Darrera reserva
Last Email	Darrera Email
Last Event	Últim Esdeveniment
Quote is valid for	Cita és vàlid per
minute(s)	minut (s)
second(s)	segon (s)
The credit card number should contain only digits	El nombre de targeta de crèdit ha de contenir només dígits
This quote is not valid any more	Aquesta cita no és vàlid més
The page will be automatically refreshed	La pàgina s'actualitzarà automàticament
You will pay in	El pagament s'efectua en
There are no properties in your wish list	No hi ha propietats a la llista de desitjos
Garage Spaces	Places de garatge
An unexpected error occurred	S'ha produït un error inesperat
Please try again later	Torneu-ho de nou més tard
Booking not found	La reserva no trobat
Make a Payment	Realitzar un pagament
Please verify this booking belongs to you	Si us plau verifiqui la tarifa no li pertany a vostè
This booking has been canceled	Aquesta reserva ha estat cancel·lada
Pay Now	Pagar Ara
Filter by	Filtrat per
Response	Resposta
See full review on	Veure ressenya completa en
Lot Size	Mida De Lot
Privacy	Intimitat
Privacy Policy	Política De Privadesa
Policy	Política
Terms	Condicions
My WishList	La Llista De Desitjos
WishList	Llista De Desitjos
WishListed	En la seva llista de desitjos
